,FileName,Boxes
0,a.jpg,"[[887, 454, 932, 566], [830, 471, 891, 550], [997, 486, 1066, 644]]"
1,d.jpg,"[[1058, 234, 1095, 305], [490, 241, 518, 314], [454, 242, 491, 313]]"
2,fortepan_100012.jpg,"[[0, 970, 719, 1279], [330, 313, 690, 990], [49, 335, 516, 1026]]"
3,fortepan_100034.jpg,"[[224, 368, 1103, 699], [920, 62, 1151, 691], [685, 90, 869, 375], [442, 69, 626, 384], [790, 211, 1044, 776], [515, 212, 810, 780], [268, 222, 537, 775], [122, 121, 369, 728]]"
4,fortepan_100174.jpg,"[[25, 393, 131, 704], [121, 395, 214, 705], [1106, 379, 1228, 690]]"
5,fortepan_100952.jpg,"[[699, 521, 831, 574], [445, 582, 842, 969], [721, 404, 994, 940], [1104, 827, 1164, 944], [111, 605, 379, 1041], [577, 606, 808, 1021], [206, 385, 540, 953], [1010, 812, 1091, 946], [808, 556, 1024, 942]]"
6,fortepan_100953.jpg,"[[345, 204, 384, 254], [631, 763, 1120, 938], [497, 291, 846, 859], [115, 60, 514, 647], [162, 481, 647, 931]]"
7,fortepan_100954.jpg,"[[384, 375, 395, 399], [602, 378, 639, 481], [692, 343, 753, 539], [743, 327, 814, 536]]"
8,fortepan_101280.jpg,"[[748, 411, 772, 426], [539, 334, 686, 772], [384, 317, 476, 774], [296, 335, 424, 760], [525, 439, 673, 810], [683, 334, 860, 807], [436, 355, 564, 808], [186, 319, 321, 761], [98, 286, 227, 745]]"
9,fortepan_10837.jpg,"[[307, 277, 883, 1278]]"
10,fortepan_11030.jpg,"[[162, 39, 630, 1279]]"
11,fortepan_114613.jpg,"[[168, 158, 582, 1262]]"
12,fortepan_114620.jpg,"[[233, 428, 265, 487], [404, 179, 778, 1213], [43, 255, 455, 1201]]"
13,fortepan_114673.jpg,"[[357, 417, 705, 937], [325, 360, 526, 901], [159, 384, 355, 947]]"
14,fortepan_114805.jpg,"[[406, 121, 679, 708], [0, 266, 299, 1113], [442, 339, 871, 1167], [148, 323, 554, 1161]]"
15,fortepan_114806.jpg,"[[399, 77, 783, 1120], [595, 609, 786, 1137], [143, 212, 634, 1165]]"
16,fortepan_114808.jpg,"[[8, 358, 155, 514], [296, 327, 504, 1058], [4, 499, 325, 1174], [481, 478, 715, 1197], [589, 625, 849, 1210]]"
17,fortepan_114809.jpg,"[[666, 586, 930, 1015], [422, 235, 835, 1162], [118, 242, 474, 1176]]"
18,fortepan_114810.jpg,"[[3, 469, 699, 1118], [166, 349, 537, 1196], [541, 116, 905, 1090]]"
19,fortepan_114811.jpg,"[[0, 637, 139, 1266], [152, 162, 423, 1218], [401, 160, 715, 1187]]"
20,fortepan_114814.jpg,"[[643, 598, 963, 1121], [294, 648, 475, 871], [576, 500, 786, 836], [72, 752, 591, 1279], [468, 514, 712, 975]]"
21,fortepan_114815.jpg,"[[105, 70, 672, 1278]]"
22,fortepan_114816.jpg,"[[319, 651, 390, 728], [39, 362, 630, 1276], [433, 227, 1021, 1278]]"
23,fortepan_114817.jpg,"[[1004, 367, 1279, 875], [405, 496, 463, 528], [192, 47, 475, 341], [697, 236, 1035, 872], [411, 95, 644, 815], [925, 145, 1216, 824], [615, 89, 857, 707], [226, 213, 580, 888]]"
24,fortepan_114818.jpg,"[[67, 617, 123, 763]]"
25,fortepan_114819.jpg,"[[1050, 167, 1172, 326], [164, 145, 225, 208], [839, 192, 929, 320], [707, 209, 805, 320], [734, 270, 766, 321], [907, 441, 1215, 820], [935, 544, 1227, 991], [862, 270, 893, 317], [1087, 250, 1152, 326], [154, 477, 451, 988]]"
26,fortepan_114820.jpg,"[[0, 799, 27, 899]]"
27,fortepan_115046.jpg,"[[953, 943, 989, 1063], [94, 1094, 122, 1114], [350, 1095, 376, 1118], [245, 946, 265, 1016], [152, 1222, 206, 1263], [1119, 940, 1158, 1070], [165, 1179, 211, 1216], [984, 947, 1023, 1064], [529, 953, 557, 1032], [575, 940, 603, 1019], [1193, 931, 1254, 1101], [741, 918, 819, 1129]]"
28,fortepan_115047.jpg,"[[476, 983, 509, 1075], [601, 993, 626, 1074], [546, 979, 594, 1095], [711, 979, 755, 1090], [337, 961, 475, 1257]]"
29,fortepan_115048.jpg,"[[838, 901, 889, 1013], [1119, 913, 1155, 1029], [21, 881, 89, 1067], [599, 884, 651, 1034], [59, 872, 111, 1057], [941, 898, 980, 1004], [125, 854, 207, 1085], [1177, 879, 1247, 1098], [535, 874, 618, 1079]]"
30,fortepan_115049.jpg,"[[685, 892, 724, 936], [1177, 980, 1209, 1098], [846, 934, 932, 1140], [1112, 987, 1161, 1113], [1059, 990, 1112, 1118], [376, 950, 451, 1106]]"
31,fortepan_115050.jpg,"[[56, 802, 187, 895], [736, 814, 792, 963]]"
32,fortepan_115051.jpg,"[[292, 718, 374, 900], [803, 890, 977, 1124], [926, 910, 1129, 1181], [637, 820, 736, 1016], [223, 699, 300, 905], [1023, 921, 1253, 1227]]"
33,fortepan_115052.jpg,"[[1193, 879, 1243, 962], [886, 905, 1089, 989], [140, 832, 213, 982], [372, 844, 417, 982], [610, 851, 664, 998], [428, 848, 477, 1001], [507, 838, 579, 998]]"
34,fortepan_115053.jpg,"[[1117, 811, 1145, 881], [538, 794, 563, 883], [619, 791, 644, 871], [126, 749, 204, 980], [926, 755, 1125, 982], [559, 795, 604, 899], [265, 792, 330, 978], [53, 860, 288, 1011]]"
35,fortepan_115054.jpg,"[[551, 873, 595, 1074], [281, 858, 330, 936], [122, 840, 177, 1019], [504, 862, 565, 1082], [193, 845, 251, 1000], [726, 853, 814, 1114], [397, 872, 483, 1116], [580, 860, 722, 1140]]"
36,fortepan_115055.jpg,"[[566, 941, 609, 1084], [416, 948, 440, 1023], [257, 945, 293, 1038], [329, 945, 368, 1054], [1060, 810, 1127, 874], [527, 937, 582, 1080], [466, 953, 500, 1037], [292, 945, 331, 1054], [995, 912, 1100, 1152]]"
37,fortepan_115056.jpg,"[[433, 804, 455, 865], [600, 827, 631, 951], [570, 821, 614, 951], [162, 756, 260, 1002]]"
38,fortepan_115057.jpg,"[[595, 659, 634, 699], [697, 668, 726, 709], [321, 802, 519, 980], [401, 820, 501, 999], [530, 635, 602, 701], [926, 813, 1065, 951], [749, 836, 846, 1136]]"
39,fortepan_115058.jpg,"[[377, 811, 436, 956], [237, 819, 312, 987], [723, 798, 769, 972], [1103, 815, 1210, 1072], [665, 810, 738, 998], [486, 792, 594, 1056], [773, 819, 839, 1015], [851, 801, 923, 981], [1001, 815, 1103, 1070], [973, 350, 1129, 633]]"
40,fortepan_115059.jpg,"[[290, 907, 323, 992], [407, 403, 510, 578], [1136, 909, 1164, 990], [45, 886, 126, 1104], [967, 901, 998, 984], [425, 456, 491, 632]]"
41,fortepan_115060.jpg,"[[626, 1011, 658, 1092], [125, 982, 198, 1195], [1046, 1017, 1085, 1118], [1010, 1025, 1045, 1111], [204, 984, 277, 1218], [61, 999, 128, 1196]]"
42,fortepan_115061.jpg,"[[1062, 940, 1107, 1043], [795, 827, 859, 917], [86, 966, 178, 1202], [26, 947, 103, 1210], [932, 314, 974, 357], [212, 980, 272, 1142]]"
43,fortepan_115385.jpg,"[[107, 368, 538, 957], [766, 627, 898, 893], [130, 190, 899, 1279]]"
44,fortepan_115769.jpg,"[[406, 658, 425, 713], [148, 673, 170, 721], [649, 652, 670, 708], [87, 685, 132, 795], [984, 633, 1004, 682], [1245, 640, 1279, 760], [301, 633, 342, 692], [679, 641, 704, 706], [216, 663, 276, 786]]"
45,fortepan_115839.jpg,"[[0, 447, 43, 672], [1124, 693, 1279, 934], [425, 523, 475, 657], [755, 503, 815, 687], [819, 592, 879, 686], [467, 521, 512, 659], [65, 447, 178, 744], [901, 614, 1046, 786], [1186, 482, 1263, 681], [979, 498, 1046, 668], [624, 499, 686, 682]]"
46,fortepan_115873.jpg,"[[225, 228, 776, 1278]]"
