                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2222,                 2.4703,                 1.7453,                0.00178,                 0.0328,                0.00067,                0.00016,                    nan,                    nan,                    nan,               0.070612,              0.0032653,              0.0032653
                      1,                 2.3497,                 2.2045,                 1.8559,                0.01063,                0.13165,                0.00422,                0.00099,                 2.8015,                    inf,                 8.1929,               0.040482,               0.006468,               0.006468
                      2,                 2.3467,                 2.2368,                 1.8665,                0.02905,                 0.1219,                0.01232,                0.00327,                 2.4868,                    inf,                 3.6856,               0.010219,              0.0095387,              0.0095387
                      3,                 2.2977,                 2.1574,                 1.8548,                0.01031,                0.10239,                0.00411,                0.00108,                  2.994,                    inf,                 5.3751,               0.009406,               0.009406,               0.009406
                      4,                 2.2541,                 2.1094,                 1.8167,                0.13369,                0.20257,                0.06079,                0.01694,                 2.1813,                 64.612,                  2.036,               0.009406,               0.009406,               0.009406
                      5,                 2.2314,                  2.015,                 1.7844,                0.28517,                0.26152,                0.17376,                0.05858,                 1.9013,                 24.823,                 1.6603,               0.009208,               0.009208,               0.009208
                      6,                 2.1766,                 1.9649,                 1.7725,                0.36652,                0.28236,                0.24175,                0.09015,                 1.8394,                 9.6181,                  1.554,                0.00901,                0.00901,                0.00901
                      7,                 2.1242,                 1.8769,                 1.7181,                0.50102,                0.35683,                0.35586,                0.13388,                 1.7725,                 3.1902,                 1.4969,               0.008812,               0.008812,               0.008812
                      8,                 2.0879,                  1.836,                 1.6875,                0.41916,                0.24601,                0.22727,                 0.0813,                 1.9381,                 4.9816,                   1.82,               0.008614,               0.008614,               0.008614
                      9,                 2.0927,                 1.8423,                  1.691,                0.38826,                0.23626,                0.21402,                 0.0735,                 1.9584,                 3.8275,                 1.6871,               0.008416,               0.008416,               0.008416
                     10,                 2.0584,                 1.7886,                 1.6931,                  0.249,                0.39495,                0.16756,                0.06346,                 1.6699,                 2.8963,                 1.4513,               0.008218,               0.008218,               0.008218
                     11,                 2.0368,                 1.7522,                 1.6694,                0.53272,                 0.3972,                0.39953,                0.15472,                 1.6742,                 3.9157,                 1.4064,                0.00802,                0.00802,                0.00802
                     12,                 2.0313,                 1.7646,                 1.6609,                0.53252,                0.41135,                0.40113,                0.15627,                 1.6049,                  2.817,                 1.3817,               0.007822,               0.007822,               0.007822
                     13,                 2.0005,                 1.6897,                 1.6411,                0.46973,                0.28147,                0.28448,                0.10054,                 1.8948,                 1.9968,                 1.5159,               0.007624,               0.007624,               0.007624
                     14,                 1.9784,                 1.6569,                 1.6112,                 0.5955,                0.34707,                0.38425,                0.14068,                 1.7528,                 2.0297,                 1.5177,               0.007426,               0.007426,               0.007426
                     15,                 1.9717,                 1.6355,                 1.6084,                0.59678,                0.41888,                0.44613,                0.17601,                 1.6773,                 2.2369,                 1.3999,               0.007228,               0.007228,               0.007228
                     16,                 1.9609,                 1.6137,                 1.5892,                0.54098,                 0.3648,                0.38729,                0.15264,                 1.7424,                 2.3123,                  1.476,                0.00703,                0.00703,                0.00703
                     17,                 1.9497,                 1.6085,                 1.5808,                0.54813,                0.42509,                0.42849,                0.17872,                  1.668,                  2.654,                 1.4265,               0.006832,               0.006832,               0.006832
                     18,                 1.9452,                 1.6024,                 1.5766,                0.62195,                0.45124,                0.50472,                0.20863,                  1.597,                 2.1578,                 1.3473,               0.006634,               0.006634,               0.006634
                     19,                 1.9246,                 1.5805,                 1.5656,                0.49187,                0.35904,                0.35737,                 0.1449,                 1.6544,                 4.3153,                 1.4044,               0.006436,               0.006436,               0.006436
                     20,                 1.9098,                 1.5586,                  1.561,                0.69913,                0.38963,                0.47756,                0.20752,                 1.5791,                 1.5424,                 1.3184,               0.006238,               0.006238,               0.006238
                     21,                 1.9298,                 1.5579,                 1.5661,                0.64051,                0.50931,                0.55113,                0.22999,                 1.5181,                 2.5071,                 1.2985,                0.00604,                0.00604,                0.00604
                     22,                 1.9363,                 1.5433,                 1.5588,                0.69598,                0.47651,                0.55476,                0.23928,                 1.5707,                 1.3467,                 1.3021,               0.005842,               0.005842,               0.005842
                     23,                 1.9001,                 1.5137,                 1.5373,                0.62879,                0.39044,                 0.4534,                0.18887,                 1.6842,                 1.5971,                 1.4193,               0.005644,               0.005644,               0.005644
                     24,                 1.9218,                 1.5372,                 1.5498,                0.68581,                0.47207,                0.55005,                0.22092,                 1.5805,                 1.4162,                 1.3327,               0.005446,               0.005446,               0.005446
                     25,                 1.8908,                    1.5,                 1.5433,                0.66646,                0.43041,                0.49885,                0.21293,                 1.5743,                 1.4196,                 1.3542,               0.005248,               0.005248,               0.005248
                     26,                 1.8682,                 1.4957,                 1.5406,                0.67523,                0.50227,                0.56152,                0.23542,                 1.5418,                  1.521,                 1.3185,                0.00505,                0.00505,                0.00505
                     27,                  1.876,                 1.4841,                 1.5269,                0.66158,                0.49823,                0.54382,                0.21773,                 1.5726,                 1.7177,                 1.3283,               0.004852,               0.004852,               0.004852
