                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9825,                 2.2816,                  1.515,                0.06876,                0.15337,                0.05063,                0.01901,                 2.0446,                 3.5257,                 1.6456,               0.067673,             0.00032653,             0.00032653
                      1,                 1.9419,                 1.6621,                 1.4732,                0.47757,                0.16532,                0.21009,                0.08508,                 1.7835,                  2.834,                 1.4952,                0.03466,              0.0006468,              0.0006468
                      2,                 1.9347,                  1.621,                 1.4852,                 0.4517,                0.25842,                0.24963,                 0.0982,                 1.6984,                 8.4978,                 1.4182,              0.0016341,             0.00095387,             0.00095387
                      3,                 1.9192,                 1.5993,                 1.4896,                0.34643,                0.42199,                0.28251,                0.11571,                 1.5756,                 37.601,                  1.314,              0.0009406,              0.0009406,              0.0009406
                      4,                 1.8914,                 1.5449,                 1.4621,                0.68906,                0.47518,                0.52956,                 0.2173,                 1.5525,                 1.3064,                 1.2593,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.8861,                 1.5022,                 1.4509,                0.62896,                0.46543,                0.50081,                0.21525,                 1.6036,                 2.8562,                 1.2955,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.8528,                  1.458,                 1.4446,                0.71893,                0.48449,                0.56904,                 0.2484,                 1.5535,                 1.2306,                 1.2592,               0.000901,               0.000901,               0.000901
                      7,                 1.8371,                 1.4003,                 1.4118,                 0.6616,                0.49424,                0.55452,                0.25083,                 1.5066,                 2.2261,                 1.2429,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.8097,                 1.3915,                 1.3884,                  0.748,                0.55142,                0.64125,                0.28963,                 1.4634,                 1.3058,                 1.1697,              0.0008614,              0.0008614,              0.0008614
                      9,                  1.796,                 1.3696,                  1.393,                0.65516,                0.52213,                0.57197,                0.24928,                 1.4647,                 2.1438,                 1.1925,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.7766,                 1.3388,                 1.3914,                0.69876,                0.49352,                0.57271,                0.25651,                  1.497,                 1.1649,                 1.2292,              0.0008218,              0.0008218,              0.0008218
                     11,                 1.7714,                 1.3081,                 1.3759,                0.73075,                0.50842,                0.59645,                0.26278,                 1.4616,                 2.2321,                 1.1819,               0.000802,               0.000802,               0.000802
                     12,                 1.7562,                 1.3202,                 1.3722,                0.74228,                0.56472,                0.65094,                0.29963,                 1.4443,                 1.0809,                 1.1743,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.7577,                 1.2764,                 1.3705,                0.72602,                0.53236,                0.61068,                0.28165,                 1.4514,                 1.6162,                 1.1692,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.7408,                 1.2424,                 1.3506,                0.75418,                0.56073,                0.65125,                0.30033,                 1.4555,                 1.4272,                 1.1876,              0.0007426,              0.0007426,              0.0007426
                     15,                 1.7347,                 1.2235,                 1.3517,                0.75379,                0.56049,                0.64246,                0.29848,                 1.4367,                0.97081,                 1.1477,              0.0007228,              0.0007228,              0.0007228
                     16,                 1.7189,                 1.2068,                 1.3337,                 0.7732,                0.58511,                0.67538,                0.31807,                 1.3932,                0.96808,                 1.1275,               0.000703,               0.000703,               0.000703
                     17,                 1.7107,                 1.1906,                 1.3296,                  0.737,                0.59397,                0.66774,                0.31532,                 1.3974,                 1.8325,                 1.1605,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.7018,                 1.1939,                  1.326,                0.77375,                0.60032,                0.68515,                0.32709,                 1.3944,                 0.9114,                 1.1306,              0.0006634,              0.0006634,              0.0006634
                     19,                 1.6821,                 1.1698,                 1.3135,                0.76782,                0.59955,                 0.6794,                0.31772,                 1.4125,                0.93333,                 1.1519,              0.0006436,              0.0006436,              0.0006436
                     20,                  1.665,                 1.1471,                 1.3129,                0.72601,                0.58289,                0.65734,                0.30799,                 1.4154,                 1.4362,                 1.1357,              0.0006238,              0.0006238,              0.0006238
                     21,                 1.6803,                 1.1598,                 1.3116,                0.76104,                0.60195,                0.69567,                 0.3275,                 1.3954,                 1.3461,                 1.1164,               0.000604,               0.000604,               0.000604
                     22,                 1.6747,                 1.1305,                 1.3037,                0.78443,                0.61293,                0.70139,                0.32027,                 1.4313,                0.97948,                  1.141,              0.0005842,              0.0005842,              0.0005842
                     23,                 1.6594,                 1.1253,                 1.2928,                0.77023,                0.60594,                0.69299,                0.32766,                 1.3913,                0.88346,                 1.1159,              0.0005644,              0.0005644,              0.0005644
                     24,                 1.6666,                 1.1183,                 1.3032,                0.79785,                0.58821,                0.69732,                0.32829,                 1.4056,                0.87142,                  1.126,              0.0005446,              0.0005446,              0.0005446
                     25,                 1.6509,                 1.0938,                 1.2964,                0.79224,                0.62234,                0.71448,                0.33588,                 1.3782,                0.87164,                 1.0995,              0.0005248,              0.0005248,              0.0005248
                     26,                 1.6193,                  1.085,                 1.2876,                0.77865,                0.61592,                0.69634,                0.32818,                 1.3875,                0.99875,                 1.1159,               0.000505,               0.000505,               0.000505
                     27,                 1.6348,                  1.084,                 1.2817,                 0.7532,                0.62634,                  0.703,                0.33789,                 1.3534,                 1.0284,                 1.1029,              0.0004852,              0.0004852,              0.0004852
                     28,                 1.6131,                 1.0654,                 1.2794,                0.80611,                0.63564,                0.72614,                0.35138,                 1.3452,                0.95976,                 1.0985,              0.0004654,              0.0004654,              0.0004654
                     29,                 1.6107,                 1.0436,                 1.2698,                0.80166,                0.61272,                0.71434,                0.33543,                 1.3936,                  1.108,                 1.1246,              0.0004456,              0.0004456,              0.0004456
                     30,                 1.6019,                 1.0361,                  1.272,                 0.7727,                0.63439,                  0.717,                0.33881,                 1.3683,                 0.9022,                 1.1133,              0.0004258,              0.0004258,              0.0004258
                     31,                 1.6084,                 1.0384,                 1.2722,                0.81483,                0.63032,                0.73372,                0.36263,                 1.3493,                0.93033,                 1.1002,               0.000406,               0.000406,               0.000406
                     32,                 1.5956,                 1.0304,                 1.2669,                0.81438,                 0.6352,                 0.7267,                0.34841,                 1.3762,                0.86492,                 1.1175,              0.0003862,              0.0003862,              0.0003862
                     33,                 1.5916,                 1.0337,                 1.2609,                0.80279,                0.63696,                 0.7282,                0.35272,                 1.3424,                0.83522,                 1.1012,              0.0003664,              0.0003664,              0.0003664
                     34,                 1.5646,                 1.0109,                 1.2389,                0.79609,                0.63564,                0.72574,                0.35544,                 1.3539,                0.83888,                 1.0886,              0.0003466,              0.0003466,              0.0003466
                     35,                 1.5583,                0.98574,                 1.2432,                0.80705,                 0.6452,                0.73754,                0.36208,                  1.323,                0.80246,                 1.0707,              0.0003268,              0.0003268,              0.0003268
                     36,                 1.5629,                0.97766,                 1.2374,                0.78613,                0.63869,                0.72886,                0.35551,                 1.3367,                0.85728,                 1.0829,               0.000307,               0.000307,               0.000307
