                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9548,                 3.2558,                 1.5193,                0.01066,                0.73138,                0.20012,                0.09597,                 1.2498,                 6.8024,                0.98777,               0.067673,             0.00032653,             0.00032653
                      1,                 1.9567,                 2.2419,                 1.4505,                0.84755,                0.38342,                0.56548,                0.27302,                 1.3192,                 3.8799,                 1.0313,                0.03466,              0.0006468,              0.0006468
                      2,                 1.8421,                 1.7579,                 1.3943,                0.74292,                 0.5492,                0.62592,                0.30433,                 1.3194,                 2.1491,                 1.0284,              0.0016341,             0.00095387,             0.00095387
                      3,                 1.8049,                 1.6236,                 1.3714,                0.78018,                0.55895,                0.65374,                 0.3094,                 1.3313,                 1.9539,                 1.0328,              0.0009406,              0.0009406,              0.0009406
                      4,                 1.7521,                 1.5444,                  1.336,                 0.7623,                0.58821,                0.67958,                0.32199,                 1.3161,                 1.8075,                 1.0331,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.7557,                 1.4795,                 1.3173,                0.73873,                0.60659,                0.67623,                0.32822,                    1.3,                 1.9155,                 1.0136,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.7258,                 1.4405,                 1.3182,                0.79188,                0.59367,                0.67787,                0.32662,                 1.3238,                 2.2075,                 1.0324,               0.000901,               0.000901,               0.000901
                      7,                 1.7075,                 1.3775,                 1.2924,                0.78474,                0.61037,                0.69202,                0.33395,                 1.3123,                 1.7501,                 1.0154,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.6984,                 1.3661,                  1.276,                 0.7796,                0.60594,                0.69997,                0.33959,                 1.2933,                  1.633,                 1.0051,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.6772,                  1.344,                  1.273,                0.76416,                0.60753,                 0.6915,                0.33611,                 1.3028,                 1.5593,                 1.0123,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.6677,                 1.3177,                 1.2807,                0.77989,                0.63165,                0.70955,                0.34944,                  1.286,                 1.5019,                 1.0107,              0.0008218,              0.0008218,              0.0008218
                     11,                 1.6572,                  1.292,                 1.2632,                0.78231,                0.62126,                0.71047,                0.34697,                 1.2733,                 1.4541,                 1.0032,               0.000802,               0.000802,               0.000802
                     12,                 1.6528,                 1.2943,                 1.2671,                0.78893,                0.62145,                0.71369,                0.34803,                 1.2824,                 1.4604,                  1.009,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.6512,                 1.2652,                 1.2657,                0.78214,                0.61392,                0.69018,                0.34205,                 1.2908,                 1.4439,                 1.0138,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.6413,                 1.2401,                 1.2522,                0.78678,                0.61499,                0.70359,                0.34093,                 1.3205,                  1.517,                 1.0233,              0.0007426,              0.0007426,              0.0007426
                     15,                 1.6408,                 1.2299,                 1.2525,                0.78934,                0.63121,                0.71543,                0.36672,                 1.2582,                 1.3004,                0.99526,              0.0007228,              0.0007228,              0.0007228
                     16,                 1.6312,                 1.2161,                 1.2387,                0.79923,                0.61406,                0.70815,                0.35006,                 1.2985,                 1.2707,                  1.018,               0.000703,               0.000703,               0.000703
                     17,                 1.6351,                 1.2054,                   1.24,                 0.7991,                0.64007,                0.72531,                0.36024,                 1.2792,                 1.2876,                 1.0002,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.6172,                 1.2022,                 1.2354,                0.79219,                0.63608,                0.72418,                0.36304,                 1.2679,                 1.1874,                0.99182,              0.0006634,              0.0006634,              0.0006634
                     19,                 1.5971,                 1.1822,                 1.2279,                0.80171,                0.64317,                0.72748,                 0.3618,                 1.2664,                 1.1932,                0.99437,              0.0006436,              0.0006436,              0.0006436
                     20,                 1.5911,                 1.1646,                  1.225,                0.79764,                0.64849,                0.72715,                0.36271,                 1.2712,                  1.187,                0.99199,              0.0006238,              0.0006238,              0.0006238
