                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5062,                 4.7701,                 2.6191,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    0.1,               0.032653,               0.032653
                      1,                 3.6207,                 3.3607,                 2.5508,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.098693,                0.06468,                0.06468
                      2,                 3.2976,                 3.3674,                 2.6366,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.096067,               0.095387,               0.095387
                      3,                 3.1688,                 3.2967,                 2.5302,                0.00244,                0.16711,                0.00174,                0.00041,                    nan,                    nan,                    nan,                0.09406,                0.09406,                0.09406
                      4,                 3.0599,                 3.2336,                 2.4135,                0.00976,                0.34441,                0.00996,                0.00262,                 2.6049,                 3.3388,                  2.132,                0.09406,                0.09406,                0.09406
                      5,                 3.0091,                 3.1221,                 2.3043,                0.00496,                0.15736,                0.00284,                0.00063,                 2.9439,                 12.794,                 2.3646,                0.09208,                0.09208,                0.09208
                      6,                 2.9558,                 3.1148,                 2.2804,                0.00496,                0.15736,                0.00284,                0.00063,                 2.6959,                 5.7054,                 2.2666,                 0.0901,                 0.0901,                 0.0901
                      7,                 2.9223,                 2.9966,                 2.2331,                0.00902,                0.35904,                0.01522,                0.00282,                    nan,                    nan,                    nan,                0.08812,                0.08812,                0.08812
                      8,                 2.8766,                 2.9705,                 2.1771,                0.00789,                0.05408,                0.00471,                0.00121,                    nan,                    nan,                    nan,                0.08614,                0.08614,                0.08614
                      9,                 2.8199,                 2.9102,                 2.1586,                0.00378,                0.01773,                0.00198,                0.00049,                    nan,                    nan,                    nan,                0.08416,                0.08416,                0.08416
                     10,                    nan,                    nan,                    nan,                0.00378,                0.01773,                0.00198,                0.00049,                    nan,                    nan,                    nan,                0.08218,                0.08218,                0.08218
                     11,                    nan,                    nan,                    nan,                0.00341,                0.00931,                0.00173,                0.00031,                    nan,                    nan,                    nan,                 0.0802,                 0.0802,                 0.0802
                     12,                    nan,                    nan,                    nan,                0.00341,                0.00931,                0.00173,                0.00031,                    nan,                    nan,                    nan,                0.07822,                0.07822,                0.07822
