                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5258,                 7.7998,                 3.1063,                0.00645,                0.07314,                0.00208,                0.00054,                 3.3564,                    inf,                 39.764,               0.070612,              0.0032653,              0.0032653
                      1,                 3.6663,                 3.3029,                  2.661,                0.00362,                0.05275,                0.00109,                0.00022,                  3.285,                    inf,                  5.118,               0.040482,               0.006468,               0.006468
                      2,                 3.5839,                 3.2555,                 2.6386,                0.00362,                0.05275,                0.00109,                0.00022,                 3.7812,                 6.8288,                 12.794,               0.010219,              0.0095387,              0.0095387
                      3,                 3.3306,                  3.279,                 2.6268,                0.00362,                0.05275,                0.00109,                0.00022,                 3.5178,                 3.8504,                 5.3541,               0.009406,               0.009406,               0.009406
                      4,                   3.28,                 3.2873,                 2.6313,                0.00914,                0.03901,                0.00354,                0.00104,                 2.8097,                    inf,                 5.3121,               0.009406,               0.009406,               0.009406
                      5,                 3.2508,                 3.2138,                 2.5666,                0.00188,                0.00044,                0.00094,                0.00019,                 2.8741,                 3.9929,                 4.5238,               0.009208,               0.009208,               0.009208
                      6,                 3.2089,                 3.2086,                 2.5584,                0.00188,                0.00044,                0.00094,                0.00019,                 3.2388,                 3.7741,                 5.6566,                0.00901,                0.00901,                0.00901
                      7,                 3.1932,                 3.1868,                 2.5196,                0.00188,                0.00044,                0.00094,                0.00019,                  3.414,                 4.2323,                 6.6074,               0.008812,               0.008812,               0.008812
                      8,                 3.1355,                 3.2062,                  2.551,                0.01538,                0.00044,                0.00776,                0.00078,                 2.8014,                  3.504,                 3.5645,               0.008614,               0.008614,               0.008614
                      9,                 3.0966,                 3.1679,                  2.513,                  1e-05,                0.00044,                      0,                      0,                 3.3177,                    inf,                 5.8543,               0.008416,               0.008416,               0.008416
                     10,                 3.0558,                 3.1089,                 2.5143,                  1e-05,                0.00044,                      0,                      0,                 3.2013,                 4.4105,                 4.9861,               0.008218,               0.008218,               0.008218
                     11,                 3.0806,                 3.0272,                 2.4983,                0.00581,                0.06649,                0.00318,                0.00096,                 3.4586,                 3.5197,                 3.5979,                0.00802,                0.00802,                0.00802
                     12,                 3.0761,                 3.0971,                 2.4972,                0.00581,                0.06649,                0.00318,                0.00096,                 3.4051,                 3.8899,                 6.2643,               0.007822,               0.007822,               0.007822
                     13,                 3.0081,                 3.0001,                 2.4529,                0.00581,                0.06649,                0.00318,                0.00096,                 3.4673,                 3.6463,                 5.5323,               0.007624,               0.007624,               0.007624
